Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY59430U20 - WL;01-06 3 SERIES;17X8;5 SPOKEALL PAINTED SILVER,,352.21,
ALY05309U85N - OE CHROME;09-13 HYBRIDWL;07-13 ESCALADE;22X9;7 SPK,,351.65,
ALY69517U20 - WL;08-17 SEQOIA;18X8;5 SPK,,351.24,
ALY85541U30 - WL FT;16-20 E CLS;19X8;5DBL SMACH CHARC SILV;FRNT,,350.00,
ALY85607U35 - ALY85607U35,,350.00,
ALY98578U20 - 2012 AUDI A7 19X8,,350.00,
ALY74368U79 - WL FT;18-19 LS500;20x8.5;10 SPALL PTD BLACK SMOKED HYPER,,349.83,
"STL01160U50 - 1980-1991 Ford Bronco Pickup Ford FullSize Steel 15""",,346.23,
ALY64896U20 - WL;07-9 MAZDA3;18X7;10 SPOKEALL PAINTED SILVER,,344.00,
ALY09136U90 - WL;14-16 GRND CHER;18X8;10 SPKPOLISHED W LT SILV MET BLK PRI,,340.00,
ALY62785U45 - WL;19-20 ALTIMA;19x8;10SPKMACHINED AND BLACK,,340.00,
ALY62511U20 - WL;09-11 MAXIMA;18X8;5 V SPKALL PAINTED SILVER,,339.44,
"ALY69566U10 - 2010-2011 Toyota Camry 17""x7"" (69566)",,339.44,
"September 13, 2021 2:48:24 PM EDT",Page 6 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY03285U10 - WL;17X8;GT;98-04 MUSTANG;5SPKS98 COBRA,,334.68,
ALY65240U10N - NOTE;WO/AMG IMPRINT ON SPKWL;00-02 E-CLASS;18X9;REAR,,334.68,
ALY86180L45 - WL;14-19 I3;20X5.5;10SLTMACHD AND BLK;REAR LEFT,,334.68,
ALY86409U30 - WL;18-19 640i;19x8.5;10 SPOKEMACHD/DARK CHARCOAL METALLIC,,334.68,
ALY03318U85N - ORIGINAL EQUIPMENT CHROMEWL;98-2TWNCAR;16X7;16OVALS;CHR,,331.76,
ALY05459U20 - WL;09-13 CORVT;19X10;10DBLSALL PAINTED SILVER FRONT,,331.42,
ALY86328U30 - WL;17-19 5 SER;19X8;10SPKMACHD/ DARK CHARC;FRONT,,330.00,
ALY05460U20 - WL;10-13 CORVT;18X9.5;5SPBRIGHT MET SILVER FRONT,,328.69,
