Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
2193-Core,2003-2005 Dodge Neon (2193),0,,ea,,0.00,
2193u20(CNC Silver),2003-2005 Dodge Neon (2193),0,,ea,,74.00,
2193u20(CNC Silver)-core,2003-2005 Dodge Neon (2193),0,,ea,,20.00,
2200u20,2200u20 Wheel,0,,ea,,125.00,
2200u20-Core,2200u20-Core,0,,ea,,0.00,
2201,"2003-2007 Chrysler PT Cruiser 16""x6"" (2201)",0,,ea,,150.00,
2201u20,"2003-2007 Chrysler PT Cruiser 16""x6"" (2201)",0,,ea,,90.00,
2201u20-core,"2003-2007 Chrysler PT Cruiser 16""x6"" (2201)",0,,ea,,40.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 10 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
2210u20,2210u20,0,,ea,,74.00,
2210u20-core,2210u20-core,0,,ea,,20.00,
2211u20 (m/s),"2004-2007 Chrysler Town & Country 16""x6.5"" (2211)",0,,ea,,100.00,
2211u20 (m/s)-Core,"2004-2007 Chrysler Town & Country 16""x6.5"" (2211)",0,,ea,,0.00,
2211u20N (m/s),"2004-2007 Chrysler Town & Country 16""x6.5"" (2211)",0,,ea,,0.00,
2212a-core,Dodge Durango 17x8,0,,ea,,30.00,
2212a10,2212a10,0,,ea,,57.38,
2212a10-core,"Dodge Durango 17"" 04-06 CNC Silver",0,,ea,,22.50,
2212u10,2212u10,0,,ea,,74.20,
2212u10-Core,2212u10-Core,0,,ea,,20.20,
2215N,2215N,0,,ea,,0.00,
2215u20,"17"" dodge ram 1500",0,,ea,,0.00,
2216 m/s,"2004-2008 Chrysler Pacifica 17""x7.5"" (2216)",0,,ea,,0.00,
2216 m/s-Core,"2004-2008 Chrysler Pacifica 17""x7.5"" (2216)",0,,ea,,0.00,
2216B20,2216B20 Wheel,0,,ea,,0.00,
2216B20-Core,2216B20-Core,0,,ea,,23.75,
